tank_id,date,datetime_utc,vv,vh,angle
tomakomai_00,2017-02-18,1487450457000,3.6153548999748764,-8.783546436900675,35.90259944903736
tomakomai_00,2017-02-25,1488054783000,1.8127158744997864,-10.299052382539694,45.49497005865589
tomakomai_00,2017-03-02,1488487257090,3.7824972341540035,-8.13180625822972,35.90479179727469
tomakomai_00,2017-03-09,1489091583000,2.6871208942619096,-10.438258706335567,45.49834984633218
tomakomai_00,2017-03-14,1489524057000,3.7183836586891794,-8.236709872753286,35.89473990274552
tomakomai_00,2017-03-21,1490128384100,1.7333585336655157,-11.139789385653957,45.50402067764317
tomakomai_00,2017-03-26,1490560857000,2.873513162968092,-9.857455973722198,35.89436194769632
tomakomai_00,2017-04-02,1491165184000,3.6196690596906094,-9.823504935568783,45.501400483979126
tomakomai_00,2017-04-07,1491597658140,2.8095958921264508,-10.630378825643996,35.89807423880633
tomakomai_00,2017-04-14,1492201985000,3.7678293042052795,-8.796612554912624,45.49805795928282
tomakomai_00,2017-04-19,1492634458760,4.090942371997082,-9.318878154993978,35.90003967285156
tomakomai_00,2017-04-26,1493238785360,4.228262549835518,-8.66089311787346,45.49729478132589
tomakomai_00,2017-05-01,1493671259000,3.8903001108582393,-8.24118076301844,35.897708962617976
tomakomai_00,2017-05-08,1494275586310,3.7034507985265424,-8.882636063910955,45.493066649331645
tomakomai_00,2017-05-13,1494708059970,3.9366888046749424,-9.021201539123409,35.893613108278416
tomakomai_00,2017-05-20,1495312386000,4.437972096693123,-8.856202422982593,45.49802274776228
tomakomai_00,2017-05-25,1495744860000,4.663158318278925,-7.745759300720274,35.898260690166055
tomakomai_00,2017-06-01,1496349187000,4.651516811627294,-9.720827363928631,45.50407885509516
tomakomai_00,2017-06-06,1496781661000,4.935822878506272,-8.270596937218174,35.89382561524208
tomakomai_00,2017-06-13,1497385988000,4.897693333971144,-9.038223640286303,45.49958998921617
tomakomai_00,2017-06-18,1497818461000,4.551006443670281,-7.898669230586296,35.898844581659525
tomakomai_00,2017-06-25,1498422789000,4.880846299110291,-8.51549115552312,45.495420822428535
tomakomai_00,2017-06-30,1498855262000,5.323081824905632,-7.261258702466311,35.900900788729736
tomakomai_00,2017-07-07,1499459589000,4.482821614456614,-8.572449902526154,45.49778880212315
tomakomai_00,2017-07-12,1499892063000,5.344895422168988,-7.641084255606705,35.89844394444442
tomakomai_00,2017-07-19,1500496390000,3.8878878288656757,-9.30951790267594,45.50207825596967
tomakomai_00,2017-07-24,1500928864000,4.62221063751976,-8.030984842904722,35.89802324313095
tomakomai_00,2017-07-31,1501533191000,5.238965482821939,-9.595095858009392,45.49789082502105
tomakomai_00,2017-08-05,1501965664000,4.730902035458884,-7.024051642722425,35.8923247397266
tomakomai_00,2017-08-12,1502569991000,4.398084983002258,-9.061376581819928,45.49909525059402
tomakomai_00,2017-08-17,1503002465000,4.6091516179601415,-7.9989716717341395,35.89967654477781
tomakomai_00,2017-08-24,1503606792000,4.146869145933395,-9.009173124318206,45.49638415630255
tomakomai_00,2017-08-29,1504039265000,4.557191602770129,-8.069149266703608,35.89903257584611
tomakomai_00,2017-09-05,1504643592000,4.471702330787855,-9.166651754280114,45.49728680018679
tomakomai_00,2017-09-10,1505076066000,4.985764433052989,-8.24002540037483,35.89707194222948
tomakomai_00,2017-09-17,1505680393000,5.091819535084874,-8.776748162369923,45.49554199512281
tomakomai_00,2017-09-22,1506112866000,4.503376114356784,-8.030934170433301,35.897487085405885
tomakomai_00,2017-09-29,1506717193000,4.752337076934923,-9.420264617327616,45.50008175625431
tomakomai_00,2017-10-04,1507149666000,3.965532972934405,-8.417074109524465,35.89670183800704
tomakomai_00,2017-10-11,1507753993000,5.035282967061838,-8.883197483496206,45.500623381404594
tomakomai_00,2017-10-16,1508186467000,4.639928380070843,-8.302281794888929,35.89788128287638
tomakomai_00,2017-10-23,1508790793000,4.202255217096766,-9.443823974050746,45.496370630134976
tomakomai_00,2017-10-28,1509223267000,4.994483157904523,-8.429326444458894,35.896806252610276
tomakomai_00,2017-11-04,1509827593000,5.735328376400932,-8.780885334546696,45.4938161195665
tomakomai_00,2017-11-09,1510260066000,4.190443001149843,-9.007206933133135,35.89981594917071
tomakomai_00,2017-11-16,1510864393000,4.825553007508374,-7.5525297541757865,45.49791811213067
