tank_id,date,datetime_utc,vv,vh,angle
hokkaido_00,2017-02-18,1487450457000,4.065427448160552,-6.561052558012682,35.98983748227045
hokkaido_00,2017-03-02,1488487257090,6.5358498364465,-6.8446840843368495,35.99202595978307
hokkaido_00,2017-03-14,1489524057000,5.027197286777744,-8.12331756485903,35.98200256822565
hokkaido_00,2017-03-26,1490560857000,6.765936820493718,-7.378913790579181,35.9816282947401
hokkaido_00,2017-04-07,1491597658140,6.634506327158688,-7.507497239216413,35.98533292195827
hokkaido_00,2017-04-19,1492634458760,8.776031008674684,-5.701652173775598,35.98729708276614
hokkaido_00,2017-05-01,1493671259000,8.244890861539483,-4.969454655004023,35.98497876155934
hokkaido_00,2017-05-13,1494708059970,9.373635451854007,-5.567687388408025,35.980880852107724
hokkaido_00,2017-05-25,1495744860000,9.332614798417612,-6.657133981901482,35.985520338163404
hokkaido_00,2017-06-06,1496781661000,9.06285888285922,-6.002373001352426,35.98109138411705
hokkaido_00,2017-06-18,1497818461000,8.630386594613741,-6.33941997350069,35.986104986788064
hokkaido_00,2017-06-30,1498855262000,8.516828682137648,-6.738970569159284,35.98816043917737
hokkaido_00,2017-07-12,1499892063000,8.735303301456854,-4.118618335815044,35.98571388539552
hokkaido_00,2017-07-24,1500928864000,8.440957754299337,-3.9359997020494824,35.985292899974525
hokkaido_00,2017-08-05,1501965664000,8.666683498310261,-4.54874713460297,35.9796122402615
hokkaido_00,2017-08-17,1503002465000,7.947670867258661,-5.965517339149048,35.98693114867324
hokkaido_00,2017-08-29,1504039265000,6.836249176206469,-5.872510163762576,35.9863014429392
hokkaido_00,2017-09-10,1505076066000,7.206314687546347,-5.3013078758249454,35.98433215848986
hokkaido_00,2017-09-22,1506112866000,7.555615658861173,-4.541114531085224,35.98476064031844
hokkaido_00,2017-10-04,1507149666000,7.948827664810371,-4.058494205057151,35.98396200963981
hokkaido_00,2017-10-16,1508186467000,7.251489958933399,-5.648667077564024,35.985135309530584
hokkaido_00,2017-10-28,1509223267000,7.06162889517952,-5.743248917866226,35.98405976364803
hokkaido_00,2017-11-09,1510260066000,7.524146401132731,-6.106410424807691,35.98706379711737
hokkaido_00,2017-11-21,1511296866000,5.0892400780871325,-5.965205006596514,35.98141592115116
hokkaido_00,2017-12-03,1512333666000,3.1033622509986163,-7.335341861800725,35.981504938346106
hokkaido_00,2017-12-15,1513370465000,1.6768419064983593,-7.1977976109290545,35.981379722504336
hokkaido_00,2017-12-27,1514407265000,7.892910474489421,-5.342289606807424,35.98858492285834
hokkaido_00,2018-01-08,1515444064000,5.527728560118126,-6.879447075767315,35.987381238070405
hokkaido_00,2018-01-20,1516480864000,6.337926945509296,-6.866251975673893,35.98063064695393
hokkaido_00,2018-02-01,1517517664000,5.748344630578843,-7.362820368835225,35.980002192382074
hokkaido_00,2018-02-13,1518554463000,4.770601320229418,-7.230073810091451,35.97946308617063
hokkaido_00,2018-02-25,1519591263000,3.324913426193789,-5.660863890884147,35.98752156498456
hokkaido_00,2018-03-09,1520628063000,3.046299936215118,-7.0363907571376405,35.99303901106364
hokkaido_00,2018-03-21,1521664863000,9.71605199604196,-9.562923453956298,35.992932901563705
hokkaido_00,2018-04-02,1522701664000,5.2693835771538,-8.2299650746722,35.98618560294318
hokkaido_00,2018-04-14,1523738464000,5.984649733839569,-6.32581767508745,35.98369329787111
hokkaido_00,2018-04-26,1524775265000,7.600442878867379,-5.905968366458163,35.984169454863576
hokkaido_00,2018-05-08,1525812065000,7.466856779898987,-5.4064919826855125,35.98643523168082
hokkaido_00,2018-05-20,1526848866000,8.062279251125785,-4.3438803698333865,35.98819542740168
hokkaido_00,2018-06-01,1527885667000,6.164672815011893,-4.623206633706549,35.98955655651528
hokkaido_00,2018-06-13,1528922468000,7.032436726218762,-3.8868113201830115,35.98054350496543
hokkaido_00,2018-06-25,1529959268000,7.964464558749237,-4.800360813894735,35.98193805990626
hokkaido_00,2018-07-19,1532032870000,8.422208007722855,-3.890384386368212,35.988933390572846
hokkaido_00,2018-07-31,1533069670000,8.560505859545664,-3.8461463818579906,35.990930526437594
hokkaido_00,2018-08-12,1534106471000,8.867816049983837,-3.491602802528878,35.98425344882006
hokkaido_00,2018-08-24,1535143272000,8.536515402754956,-4.719410909242113,35.97387859955728
hokkaido_00,2018-09-05,1536180072000,9.459140993040593,-4.1146779500882165,35.98376870742953
hokkaido_00,2018-09-17,1537216873000,7.9756209365175215,-5.893675426340047,35.98688244154421
hokkaido_00,2018-09-29,1538253673000,7.885121756492682,-4.2754780661818845,35.986587754205814
hokkaido_00,2018-10-11,1539290473000,8.256882749730833,-6.26052533893221,35.982294849744214
hokkaido_00,2018-10-23,1540327273000,7.967058883226947,-7.177855699618267,35.982721681691174
hokkaido_00,2018-11-04,1541364073000,6.500018740764977,-6.62431918084861,35.982403354178444
hokkaido_00,2018-11-16,1542400873000,8.22431083572106,-3.771202973568834,35.98655912696882
hokkaido_00,2018-11-28,1543437672000,7.177116867495081,-4.901017489532346,35.988311810751746
hokkaido_00,2018-12-10,1544474472000,5.614702817071428,-6.337980626283766,35.983133884547016
hokkaido_00,2018-12-22,1545511272000,6.567559633392159,-7.277133625631898,35.97843734084488
hokkaido_00,2019-01-03,1546548071000,5.722847548159768,-6.8373941370566085,35.981062462759674
hokkaido_00,2019-01-15,1547584871000,6.647002167186798,-6.517527339300325,35.987807477700585
hokkaido_00,2019-01-27,1548621671000,6.610084589565528,-6.577783609211172,35.983651439782356
hokkaido_00,2019-02-08,1549658470000,4.482006707244404,-6.7393481761746346,35.985036881572064
hokkaido_00,2019-02-20,1550695270000,3.9112932946823893,-8.999970554087922,35.98040568773227
hokkaido_00,2019-03-04,1551732070000,5.199921764797731,-9.521252773120219,35.976522382036144
hokkaido_00,2019-03-16,1552768870000,6.234721796070618,-7.287274179160539,35.986508596639574
hokkaido_00,2019-03-28,1553805670000,6.0556096984606835,-8.107881535606642,35.986479590920844
hokkaido_00,2019-04-09,1554842470000,5.981206113910791,-8.978158547125577,35.98831960152442
hokkaido_00,2019-04-21,1555879271000,4.901813708442466,-7.223460202120756,35.98009022319406
hokkaido_00,2019-05-03,1556916071000,6.780395274689846,-7.86482135903544,35.976894340908096
hokkaido_00,2019-05-15,1557952872000,6.648596967355625,-7.204879958082875,35.98224813911178
hokkaido_00,2019-06-08,1560026473000,9.615687603149274,-7.829772022602429,35.990647100732666
hokkaido_00,2019-06-20,1561063274000,7.734918771968295,-7.0367288077131205,35.986752737099344
hokkaido_00,2019-07-02,1562100075000,10.021005875357854,-6.986631422909932,35.98081498597758
hokkaido_00,2019-07-14,1563136875000,8.339834774707798,-6.989456416514301,35.982589989201905
hokkaido_00,2019-07-26,1564173676000,9.604351452345753,-7.992343137877972,35.98799306198795
