tank_id,date,datetime_utc,vv,vh,angle
mutsu_00,2017-02-18,1487450507290,0.4521890883593477,-9.220385564978393,36.707472444499615
mutsu_00,2017-03-02,1488487307000,3.562257223683,-8.994932131054865,36.70938599546849
mutsu_00,2017-03-14,1489524107000,4.664741089441958,-7.86027258950557,36.70033496178625
mutsu_00,2017-03-26,1490560907670,3.5215605358226125,-9.673732805774133,36.70007344879291
mutsu_00,2017-04-07,1491597708150,2.664961255180154,-8.92980736695222,36.70313281673387
mutsu_00,2017-04-19,1492634508760,3.4731421503441227,-8.889976611516527,36.70588438135996
mutsu_00,2017-05-01,1493671309310,2.3226313197321247,-9.48739118695042,36.70446187915612
mutsu_00,2017-05-13,1494708109000,3.3903602365456043,-8.647128223004112,36.70013177948097
mutsu_00,2017-05-25,1495744910000,2.60142611220903,-9.456980374532597,36.704538004780474
mutsu_00,2017-06-06,1496781711000,1.852157660386392,-8.653437340985663,36.699984806253084
mutsu_00,2017-06-18,1497818511000,2.861367007756553,-8.914300272241707,36.704986248004786
mutsu_00,2017-06-30,1498855312000,3.5602153023664607,-8.459036905899076,36.70705588822513
mutsu_00,2017-07-12,1499892113000,3.0705168975675496,-8.299724858973914,36.70462809331267
mutsu_00,2017-07-24,1500928914000,2.4123537321753985,-8.114838814422004,36.7039774402807
mutsu_00,2017-08-05,1501965714000,1.84944245688132,-8.862373296933285,36.69930924862596
mutsu_00,2017-08-17,1503002515000,7.606968859940937,-7.92449270936457,36.70522513466213
mutsu_00,2017-08-29,1504039315000,2.6279352816659602,-9.622086851508561,36.70477802100549
mutsu_00,2017-09-10,1505076116000,2.9170274376770866,-10.065952886583087,36.70272675651788
mutsu_00,2017-09-22,1506112916000,2.1853082334876195,-8.898635320760906,36.70336047489465
mutsu_00,2017-10-04,1507149716000,5.563542218005405,-8.566892777599335,36.702540071410574
mutsu_00,2017-10-16,1508186517000,2.059879540179758,-9.016266203199232,36.70340881066476
mutsu_00,2017-10-28,1509223317000,2.3117662098343223,-8.93044173809738,36.702663082779544
mutsu_00,2017-11-09,1510260116000,2.7728820536194316,-9.229635200774743,36.70488836763085
mutsu_00,2017-11-21,1511296916000,-0.6531609847872673,-10.111999145758208,36.699880311558836
